*Source: Q:\Surveys+TransitObserved\Muni\APC.Spring2012\APC_Distribution_Summary.xlsx, Preferred Arrival Time worksheet
*timeperiod,startmin,CDF
EA,180,0.0451
EA,185,0.0793
EA,190,0.1130
EA,195,0.1462
EA,200,0.1789
EA,205,0.2110
EA,210,0.2426
EA,215,0.2764
EA,220,0.3085
EA,225,0.3391
EA,230,0.3680
EA,235,0.3954
EA,240,0.4212
EA,245,0.4432
EA,250,0.4645
EA,255,0.4851
EA,260,0.5049
EA,265,0.5241
EA,270,0.5424
EA,275,0.5583
EA,280,0.5741
EA,285,0.5899
EA,290,0.6057
EA,295,0.6215
EA,300,0.6374
EA,305,0.6483
EA,310,0.6637
EA,315,0.6834
EA,320,0.7076
EA,325,0.7362
EA,330,0.7693
EA,335,0.8060
EA,340,0.8475
EA,345,0.8936
EA,350,0.9445
EA,355,1.0000
AM,360,0.0023
AM,365,0.0026
AM,370,0.0039
AM,375,0.0063
AM,380,0.0097
AM,385,0.0142
AM,390,0.0197
AM,395,0.0252
AM,400,0.0322
AM,405,0.0406
AM,410,0.0505
AM,415,0.0619
AM,420,0.0747
AM,425,0.0860
AM,430,0.1000
AM,435,0.1166
AM,440,0.1358
AM,445,0.1576
AM,450,0.1820
AM,455,0.2070
AM,460,0.2354
AM,465,0.2672
AM,470,0.3024
AM,475,0.3410
AM,480,0.3831
AM,485,0.4350
AM,490,0.4878
AM,495,0.5414
AM,500,0.5958
AM,505,0.6510
AM,510,0.7070
AM,515,0.7645
AM,520,0.8226
AM,525,0.8812
AM,530,0.9403
AM,535,1.0000
MD,540,0.0182
MD,545,0.0384
MD,550,0.0580
MD,555,0.0770
MD,560,0.0955
MD,565,0.1134
MD,570,0.1307
MD,575,0.1468
MD,580,0.1626
MD,585,0.1780
MD,590,0.1931
MD,595,0.2080
MD,600,0.2224
MD,605,0.2363
MD,610,0.2500
MD,615,0.2635
MD,620,0.2767
MD,625,0.2898
MD,630,0.3026
MD,635,0.3151
MD,640,0.3274
MD,645,0.3395
MD,650,0.3514
MD,655,0.3632
MD,660,0.3747
MD,665,0.3857
MD,670,0.3966
MD,675,0.4075
MD,680,0.4184
MD,685,0.4293
MD,690,0.4401
MD,695,0.4508
MD,700,0.4616
MD,705,0.4724
MD,710,0.4832
MD,715,0.4941
MD,720,0.5050
MD,725,0.5159
MD,730,0.5269
MD,735,0.5379
MD,740,0.5490
MD,745,0.5602
MD,750,0.5714
MD,755,0.5824
MD,760,0.5936
MD,765,0.6049
MD,770,0.6164
MD,775,0.6280
MD,780,0.6397
MD,785,0.6521
MD,790,0.6644
MD,795,0.6766
MD,800,0.6887
